Future.ID,Strategy.ID,Strategy,REGION,TECHNOLOGY,COMMODITY,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,Conversionls,Conversionld,Conversionlh,UDCTag,DiscountRate,DiscountRateIdv,CapacityToActivityUnit,OperationalLife,TotalTechnologyModelPeriodActivityLowerLimit,TotalTechnologyModelPeriodActivityUpperLimit,ModelPeriodEmissionLimit,UDCConstant,UDCMultiplierTotalCapacity,UDCMultiplierNewCapacity,UDCMultiplierActivity,YearSplit,DaySplit,AvailabilityFactor,CapitalCost,FixedCost,ResidualCapacity,TotalAnnualMaxCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityLowerLimit,TotalTechnologyAnnualActivityUpperLimit,VariableCost,TechnologyActivityDecreaseByModeLimit,TechnologyActivityIncreaseByModeLimit,InputToNewCapacityRatio,InputActivityRatio,OutputActivityRatio,OperationalLifeStorage,StorageLevelStart,CapitalCostStorage,TechnologyToStorage,TechnologyFromStorage,CapacityFactor,AccumulatedAnnualDemand,SpecifiedAnnualDemand,SpecifiedDemandProfile,EmissionActivityRatio,EmissionToActivityChangeRatio,CapitalRecoveryFactor,PvAnnuity
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDOTHHDGHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDOTHGSLMDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDOTHDSLMDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDOTHELCMDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDOTHPLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRELCHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRDSLHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRNGSHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRBIOHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRCOAHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRHDGHTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRGSLMDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRDSLMDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRELCMDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,Scenario1,UPSBIOCHR,,,,,,,,,,,,,,,,,,,INDMTRPLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
