Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualFixedOperatingCost,TotalTechnologyAnnualActivity,NewCapacity,AnnualTechnologyEmission,Demand,CapitalInvestment,CapitalInvestmentStorage,AnnualVariableOperatingCost,TotalCapacityAnnual
Scenario1,0,RE1,,INDOTHELCHTH,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2038,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2047,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2048,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2049,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2050,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2032,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2038,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2047,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2048,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2049,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHDSLHTH,,2050,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2032,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2038,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2047,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2048,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2049,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHNGSHTH,,2050,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHBIOHTH,,2027,,,,,,,,,,,,0.0,,,,,,
